pdf,ordem,titulo,arquivo,caracteres
BREGA (1)(1).pdf,4,FOLHA SECA,BREGA (1)(1)/004 - FOLHA SECA.txt,1783
BREGA (1)(1).pdf,5,PRINCESA,BREGA (1)(1)/005 - PRINCESA.txt,2060
BREGA (1)(1).pdf,6,CHANCE,BREGA (1)(1)/006 - CHANCE.txt,738
BREGA (1)(1).pdf,7,BRIGAS,BREGA (1)(1)/007 - BRIGAS.txt,1059
BREGA (1)(1).pdf,8,A DESCONHECIDA,BREGA (1)(1)/008 - A DESCONHECIDA.txt,2050
BREGA (1)(1).pdf,9,SEU AMOR AINDA É TUDO,BREGA (1)(1)/009 - SEU AMOR AINDA E TUDO.txt,2086
BREGA (1)(1).pdf,10,AINDA ONTEM CHOREI DE SAUDADES,BREGA (1)(1)/010 - AINDA ONTEM CHOREI DE SAUDADES.txt,1408
BREGA (1)(1).pdf,11,TORTURAS DE AMOR,BREGA (1)(1)/011 - TORTURAS DE AMOR.txt,737
BREGA (1)(1).pdf,12,GARÇOM,BREGA (1)(1)/012 - GARCOM.txt,2250
BREGA (1)(1).pdf,13,EM PLENA LUA DE MEL,BREGA (1)(1)/013 - EM PLENA LUA DE MEL.txt,1752
BREGA (1)(1).pdf,14,RAPOSA E AS UVAS,BREGA (1)(1)/014 - RAPOSA E AS UVAS.txt,2935
BREGA (1)(1).pdf,15,"MON AMOUR, MEU BEM, MA FEMME","BREGA (1)(1)/015 - MON AMOUR, MEU BEM, MA FEMME.txt",1502
BREGA (1)(1).pdf,16,MEU FRACASSO,BREGA (1)(1)/016 - MEU FRACASSO.txt,661
BREGA (1)(1).pdf,17,NÃO SE VÁ,BREGA (1)(1)/017 - NAO SE VA.txt,919
BRUNO E MARRONE.pdf,1,BIJUTERIA,BRUNO E MARRONE/001 - BIJUTERIA.txt,2111
BRUNO E MARRONE.pdf,2,BOATE AZUL,BRUNO E MARRONE/002 - BOATE AZUL.txt,2568
BRUNO E MARRONE.pdf,3,POR UM MINUTO,BRUNO E MARRONE/003 - POR UM MINUTO.txt,2473
BRUNO E MARRONE.pdf,4,BRIGAS,BRUNO E MARRONE/004 - BRIGAS.txt,835
BRUNO E MARRONE.pdf,5,UM BOM PERDEDOR,BRUNO E MARRONE/005 - UM BOM PERDEDOR.txt,2452
BRUNO E MARRONE.pdf,6,DORMI NA PRAÇA,BRUNO E MARRONE/006 - DORMI NA PRACA.txt,1878
"FÁBIO JR, RITCH, WANDO.pdf",1,MENINA VENENO,"FABIO JR, RITCH, WANDO/001 - MENINA VENENO.txt",2413
"FÁBIO JR, RITCH, WANDO.pdf",2,CAÇA E CAÇADOR,"FABIO JR, RITCH, WANDO/002 - CACA E CACADOR.txt",1957
"FÁBIO JR, RITCH, WANDO.pdf",3,FOGO E PAIXÃO,"FABIO JR, RITCH, WANDO/003 - FOGO E PAIXAO.txt",2057
FAGNER.pdf,1,ESPUMAS AO VENTO,FAGNER/001 - ESPUMAS AO VENTO.txt,3514
FAGNER.pdf,2,BORBOLHAS DE AMOR,FAGNER/002 - BORBOLHAS DE AMOR.txt,3168
FAGNER.pdf,3,REVELAÇÃO,FAGNER/003 - REVELACAO.txt,1417
FAGNER.pdf,4,CANTEIROS,FAGNER/004 - CANTEIROS.txt,1264
FAGNER.pdf,5,NOTURNO,FAGNER/005 - NOTURNO.txt,1515
FORRÓ EM PDF.pdf,1,BRILHO DA LUA,FORRO EM PDF/001 - BRILHO DA LUA.txt,1025
FORRÓ EM PDF.pdf,2,ME USA,FORRO EM PDF/002 - ME USA.txt,876
FORRÓ EM PDF.pdf,3,NODA DE CAJU,FORRO EM PDF/003 - NODA DE CAJU.txt,1002
FORRÓ EM PDF.pdf,4,CARTA BRANCA,FORRO EM PDF/004 - CARTA BRANCA.txt,1994
FORRÓ EM PDF.pdf,5,MEU VÍCIO,FORRO EM PDF/005 - MEU VICIO.txt,1043
FORRÓ EM PDF.pdf,6,DE JANEIRO A JANEIRO,FORRO EM PDF/006 - DE JANEIRO A JANEIRO.txt,1813
FORRÓ EM PDF.pdf,7,PLANETA DE CORES,FORRO EM PDF/007 - PLANETA DE CORES.txt,1958
FORRÓ EM PDF.pdf,8,VERDADEIRO AMOR,FORRO EM PDF/008 - VERDADEIRO AMOR.txt,1464
FORRÓ EM PDF.pdf,9,PERGUNTAS SEM RESPOST AS,FORRO EM PDF/009 - PERGUNTAS SEM RESPOST AS.txt,1163
FORRÓ EM PDF.pdf,10,CONFIDÊNCIAS,FORRO EM PDF/010 - CONFIDENCIAS.txt,860
FORRÓ EM PDF.pdf,11,NOSSA CANÇÃO,FORRO EM PDF/011 - NOSSA CANCAO.txt,1206
FORRÓ EM PDF.pdf,12,ONDE CANTA O SABIÁ,FORRO EM PDF/012 - ONDE CANTA O SABIA.txt,1714
FORRÓ EM PDF.pdf,13,DIGA PRA MIM,FORRO EM PDF/013 - DIGA PRA MIM.txt,1941
FORRÓ EM PDF.pdf,14,AMOR OU PAIXÃO?,FORRO EM PDF/014 - AMOR OU PAIXAO.txt,771
FORRÓ EM PDF.pdf,15,ONDE QUE EU ERREI,FORRO EM PDF/015 - ONDE QUE EU ERREI.txt,1015
FORRÓ EM PDF.pdf,16,VIAGEM AO PARAÍSO,FORRO EM PDF/016 - VIAGEM AO PARAISO.txt,875
FORRÓ EM PDF.pdf,17,SEM LIMITES PRA SONHAR,FORRO EM PDF/017 - SEM LIMITES PRA SONHAR.txt,955
JOVEM GUARDA(1).pdf,1,OUTRA VEZ,JOVEM GUARDA(1)/001 - OUTRA VEZ.txt,1935
JOVEM GUARDA(1).pdf,2,MAR DE ROSAS,JOVEM GUARDA(1)/002 - MAR DE ROSAS.txt,2325
JOVEM GUARDA(1).pdf,3,DIANA,JOVEM GUARDA(1)/003 - DIANA.txt,1246
JOVEM GUARDA(1).pdf,4,DIANA,JOVEM GUARDA(1)/004 - DIANA (2).txt,1068
JOVEM GUARDA(1).pdf,5,QUERO QUE VÁ TUDO POR INFERNO,JOVEM GUARDA(1)/005 - QUERO QUE VA TUDO POR INFERNO.txt,1878
JOVEM GUARDA(1).pdf,6,MENINA LINDA,JOVEM GUARDA(1)/006 - MENINA LINDA.txt,808
JOVEM GUARDA(1).pdf,7,WHISKY A GO GO,JOVEM GUARDA(1)/007 - WHISKY A GO GO.txt,1798
JOVEM GUARDA(1).pdf,8,VEM ME AJUDAR,JOVEM GUARDA(1)/008 - VEM ME AJUDAR.txt,1725
JOVEM GUARDA(1).pdf,9,SÓ VOCÊ NÃO VÊ,JOVEM GUARDA(1)/009 - SO VOCE NAO VE.txt,714
JOVEM GUARDA(1).pdf,10,CURVAS DE SANTOS,JOVEM GUARDA(1)/010 - CURVAS DE SANTOS.txt,2187
JOVEM GUARDA(1).pdf,11,QUANDO,JOVEM GUARDA(1)/011 - QUANDO.txt,1764
JOVEM GUARDA(1).pdf,12,NAMORADINHA DE UM AMIGO MEU,JOVEM GUARDA(1)/012 - NAMORADINHA DE UM AMIGO MEU.txt,1853
JOVEM GUARDA(1).pdf,13,DE TANTO AMOR,JOVEM GUARDA(1)/013 - DE TANTO AMOR.txt,1326
JOVEM GUARDA(1).pdf,14,EU TE AMO EU TE AMO EU TE AMO,JOVEM GUARDA(1)/014 - EU TE AMO EU TE AMO EU TE AMO.txt,2123
PÉ DE SERRA EM PDF.pdf,1,LEMBRANÇA DE UM BEIJO,PE DE SERRA EM PDF/001 - LEMBRANCA DE UM BEIJO.txt,1341
PÉ DE SERRA EM PDF.pdf,2,TARECO E MARIOLA,PE DE SERRA EM PDF/002 - TARECO E MARIOLA.txt,1641
PÉ DE SERRA EM PDF.pdf,3,ONDE CANTA O SABIÁ,PE DE SERRA EM PDF/003 - ONDE CANTA O SABIA.txt,1716
PÉ DE SERRA EM PDF.pdf,4,ATÉ MAIS VER,PE DE SERRA EM PDF/004 - ATE MAIS VER.txt,1072
PÉ DE SERRA EM PDF.pdf,5,CORAÇÃO,PE DE SERRA EM PDF/005 - CORACAO.txt,2314
PÉ DE SERRA EM PDF.pdf,6,DESTÁ,PE DE SERRA EM PDF/006 - DESTA.txt,2221
PÉ DE SERRA EM PDF.pdf,7,MEU MEL,PE DE SERRA EM PDF/007 - MEU MEL.txt,1209
RAUL SEIXAS.pdf,1,METAMORFOSE AMBULANTE,RAUL SEIXAS/001 - METAMORFOSE AMBULANTE.txt,2454
RAUL SEIXAS.pdf,2,MALUCO BELEZA,RAUL SEIXAS/002 - MALUCO BELEZA.txt,1564
RAUL SEIXAS.pdf,3,GITÁ,RAUL SEIXAS/003 - GITA.txt,2422
RAUL SEIXAS.pdf,4,TENTE OUTRA VEZ,RAUL SEIXAS/004 - TENTE OUTRA VEZ.txt,1124
RAUL SEIXAS.pdf,5,COWBOY FORA DA LEI,RAUL SEIXAS/005 - COWBOY FORA DA LEI.txt,2473
ROCK (1).pdf,1,VAMOS FUGIR- SKANK,ROCK (1)/001 - VAMOS FUGIR- SKANK.txt,2221
ROCK (1).pdf,2,RADIO PIRATA,ROCK (1)/002 - RADIO PIRATA.txt,1354
ROCK (1).pdf,3,PRA DIZER ADEUS,ROCK (1)/003 - PRA DIZER ADEUS.txt,1718
ROCK (1).pdf,4,SERÁ,ROCK (1)/004 - SERA.txt,1850
ROCK (1).pdf,5,UM CERTO ALGUÉM,ROCK (1)/005 - UM CERTO ALGUEM.txt,1768
ROCK (1).pdf,6,TODA FORMA DE AMOR,ROCK (1)/006 - TODA FORMA DE AMOR.txt,890
ROCK (1).pdf,7,MEU ERRO,ROCK (1)/007 - MEU ERRO.txt,1558
ROCK (1).pdf,8,MARVIM,ROCK (1)/008 - MARVIM.txt,2324
ROCK (1).pdf,9,ROBOCOP GAY,ROCK (1)/009 - ROBOCOP GAY.txt,1770
ROCK (1).pdf,10,PELADOS EM SANTOS,ROCK (1)/010 - PELADOS EM SANTOS.txt,1928
ROCK (1).pdf,11,QUANDO O SOL BATER NA JANELA DO SEU QUARTO,ROCK (1)/011 - QUANDO O SOL BATER NA JANELA DO SEU QUARTO.txt,1531
ROCK (1).pdf,12,TODA FORMA DE PODER,ROCK (1)/012 - TODA FORMA DE PODER.txt,2325
ROCK (1).pdf,13,I SAW YOU SAYING,ROCK (1)/013 - I SAW YOU SAYING.txt,1937
ROCK (1).pdf,14,A MAIS PEDIDA,ROCK (1)/014 - A MAIS PEDIDA.txt,1818
ROCK (1).pdf,15,A FRANCESA,ROCK (1)/015 - A FRANCESA.txt,1276
ROCK (1).pdf,16,ANNA JULIA,ROCK (1)/016 - ANNA JULIA.txt,1811
ROCK (1).pdf,17,PINTURA ÍNTIMA,ROCK (1)/017 - PINTURA INTIMA.txt,1700
ROCK (1).pdf,18,GAROTA NACIONAL,ROCK (1)/018 - GAROTA NACIONAL.txt,2362
ROCK (1).pdf,19,VOU DEIXAR,ROCK (1)/019 - VOU DEIXAR.txt,2278
ROCK (1).pdf,20,COMO EU QUERO,ROCK (1)/020 - COMO EU QUERO.txt,2846
ROCK (1).pdf,21,NÃO QUERO DINHEIRO,ROCK (1)/021 - NAO QUERO DINHEIRO.txt,2525
ROCK (1).pdf,22,NÃO VOU ME ADAPTAR,ROCK (1)/022 - NAO VOU ME ADAPTAR.txt,2645
ROCK (1).pdf,23,QUEEN,ROCK (1)/023 - QUEEN.txt,1512
ROCK (1).pdf,24,WHAT´S UP,ROCK (1)/024 - WHAT S UP.txt,2550
ROCK (1).pdf,25,LOSING MY RELIGION,ROCK (1)/025 - LOSING MY RELIGION.txt,2460
ROCK (1).pdf,26,THE MAN WHO SOLD THE WORLD,ROCK (1)/026 - THE MAN WHO SOLD THE WORLD.txt,1531
ROCK (1).pdf,27,HOTEL CALIFÓRNIA,ROCK (1)/027 - HOTEL CALIFORNIA.txt,2456
ROCK (1).pdf,28,THAT THINK YOU DO,ROCK (1)/028 - THAT THINK YOU DO.txt,1986
ROCK (1).pdf,29,HAVE YOU EVER SEEN THE RAIN,ROCK (1)/029 - HAVE YOU EVER SEEN THE RAIN.txt,1423
ROCK (1).pdf,30,I WILL SURVIVE,ROCK (1)/030 - I WILL SURVIVE.txt,3998
SAMBA E PAGODE.pdf,1,RETALHOS DE CETIM,SAMBA E PAGODE/001 - RETALHOS DE CETIM.txt,1869
SAMBA E PAGODE.pdf,2,ANDANÇA,SAMBA E PAGODE/002 - ANDANCA.txt,2202
SAMBA E PAGODE.pdf,3,AMANTES,SAMBA E PAGODE/003 - AMANTES.txt,839
SAMBA E PAGODE.pdf,4,FRICOTE,SAMBA E PAGODE/004 - FRICOTE.txt,1051
SAMBA E PAGODE.pdf,5,TEMPORAL,SAMBA E PAGODE/005 - TEMPORAL.txt,898
SAMBA E PAGODE.pdf,6,QUE SE CHAMA AMOR,SAMBA E PAGODE/006 - QUE SE CHAMA AMOR.txt,1705
SAMBA E PAGODE.pdf,7,VIDA CIGANA,SAMBA E PAGODE/007 - VIDA CIGANA.txt,1015
SAMBA E PAGODE.pdf,8,VELOCIDADE DA LUZ,SAMBA E PAGODE/008 - VELOCIDADE DA LUZ.txt,3621
SAMBA E PAGODE.pdf,9,EU E VOCÊ SEMPRE,SAMBA E PAGODE/009 - EU E VOCE SEMPRE.txt,1260
SAMBA E PAGODE.pdf,10,DESEJO DE AMAR,SAMBA E PAGODE/010 - DESEJO DE AMAR.txt,2196
SAMBA E PAGODE.pdf,11,CONSELHO,SAMBA E PAGODE/011 - CONSELHO.txt,930
SAMBA E PAGODE.pdf,12,O MEL DO TEU BEIJO,SAMBA E PAGODE/012 - O MEL DO TEU BEIJO.txt,659
SAMBA E PAGODE.pdf,13,QUANDO TE ENCONTREI,SAMBA E PAGODE/013 - QUANDO TE ENCONTREI.txt,832
SAMBA E PAGODE.pdf,14,CIGANA,SAMBA E PAGODE/014 - CIGANA.txt,924
SAMBA E PAGODE.pdf,15,MADALENA DO JUCÚ,SAMBA E PAGODE/015 - MADALENA DO JUCU.txt,1309
SAMBA E PAGODE.pdf,16,DOMINGO,SAMBA E PAGODE/016 - DOMINGO.txt,860
SAMBA E PAGODE.pdf,17,TREM DAS ONZE,SAMBA E PAGODE/017 - TREM DAS ONZE.txt,1641
SÃO JOÃO EM PDF.pdf,1,RIACHO DO NAVIO,SAO JOAO EM PDF/001 - RIACHO DO NAVIO.txt,1023
SÃO JOÃO EM PDF.pdf,2,A VIDA DO VIAJANTE,SAO JOAO EM PDF/002 - A VIDA DO VIAJANTE.txt,1515
SÃO JOÃO EM PDF.pdf,3,LÁ NO MEU PÉ DE SERRA,SAO JOAO EM PDF/003 - LA NO MEU PE DE SERRA.txt,876
SÃO JOÃO EM PDF.pdf,4,NUMA SALA DE REBOCO,SAO JOAO EM PDF/004 - NUMA SALA DE REBOCO.txt,1621
SÃO JOÃO EM PDF.pdf,5,MEU CENÁRIO,SAO JOAO EM PDF/005 - MEU CENARIO.txt,1198
SÃO JOÃO EM PDF.pdf,6,OLHINHOS DE FOGUEIRA,SAO JOAO EM PDF/006 - OLHINHOS DE FOGUEIRA.txt,613
SÃO JOÃO EM PDF.pdf,7,SÃO JOÃO NA ROÇA,SAO JOAO EM PDF/007 - SAO JOAO NA ROCA.txt,526
SÃO JOÃO EM PDF.pdf,8,OLHA PRO CÉU,SAO JOAO EM PDF/008 - OLHA PRO CEU.txt,606
SERTANEJO (1).pdf,1,FLOR E O BEIJ-FLOR,SERTANEJO (1)/001 - FLOR E O BEIJ-FLOR.txt,2369
SERTANEJO (1).pdf,2,TE AMO DEMAIS,SERTANEJO (1)/002 - TE AMO DEMAIS.txt,1706
SERTANEJO (1).pdf,3,QUANDO UM GRANDE AMOR SE FAZ,SERTANEJO (1)/003 - QUANDO UM GRANDE AMOR SE FAZ.txt,3005
SERTANEJO (1).pdf,4,BORBOLETAS,SERTANEJO (1)/004 - BORBOLETAS.txt,2205
SERTANEJO (1).pdf,5,NÃO OLHE ASSIM,SERTANEJO (1)/005 - NAO OLHE ASSIM.txt,1955
SERTANEJO (1).pdf,6,TALISMÃ,SERTANEJO (1)/006 - TALISMA.txt,1065
SERTANEJO (1).pdf,7,TEMPORAL DE AMOR,SERTANEJO (1)/007 - TEMPORAL DE AMOR.txt,2020
SERTANEJO (1).pdf,8,SONHO POR SONHO,SERTANEJO (1)/008 - SONHO POR SONHO.txt,1687
SERTANEJO (1).pdf,9,CADÊ VOCÊ,SERTANEJO (1)/009 - CADE VOCE.txt,985
SERTANEJO (1).pdf,10,CONVITE DE CASAMENTO,SERTANEJO (1)/010 - CONVITE DE CASAMENTO.txt,3409
SERTANEJO (1).pdf,11,LOCUTOR,SERTANEJO (1)/011 - LOCUTOR.txt,2221
SERTANEJO (1).pdf,12,TARDE DEMAIS,SERTANEJO (1)/012 - TARDE DEMAIS.txt,2372
SERTANEJO (1).pdf,13,É O AMOR,SERTANEJO (1)/013 - E O AMOR.txt,2545
SERTANEJO (1).pdf,14,DOU A VIDA POR UM BEIJO,SERTANEJO (1)/014 - DOU A VIDA POR UM BEIJO.txt,2708
SERTANEJO (1).pdf,15,LUCIANO,SERTANEJO (1)/015 - LUCIANO.txt,2047
SERTANEJO (1).pdf,16,SAUDADE,SERTANEJO (1)/016 - SAUDADE.txt,1504
SERTANEJO (1).pdf,17,BRINCAR DE SER FELIZ,SERTANEJO (1)/017 - BRINCAR DE SER FELIZ.txt,1117
SERTANEJO (1).pdf,18,PÁGINA DE AMIGOS,SERTANEJO (1)/018 - PAGINA DE AMIGOS.txt,985
SERTANEJO (1).pdf,19,EVIDÊNCIAS,SERTANEJO (1)/019 - EVIDENCIAS.txt,2969
Set list.pdf,1,LA BELLE DE JOUR,Set list/001 - LA BELLE DE JOUR.txt,1272
Set list.pdf,2,GIRASSOL,Set list/002 - GIRASSOL.txt,1050
Set list.pdf,3,ANUNCIAÇÃO,Set list/003 - ANUNCIACAO.txt,2415
Set list.pdf,4,MORENA TROPICANA,Set list/004 - MORENA TROPICANA.txt,1997
Set list.pdf,5,AI QUE SAUDADE D’OCÊ,Set list/005 - AI QUE SAUDADE D’OCE.txt,2111
Set list.pdf,6,BIJUTERIA,Set list/006 - BIJUTERIA.txt,2158
Set list.pdf,7,POR UM MINUTO,Set list/007 - POR UM MINUTO.txt,2898
Set list.pdf,8,BRIGAS,Set list/008 - BRIGAS.txt,1035
Set list.pdf,9,DORMI NA PRAÇA,Set list/009 - DORMI NA PRACA.txt,1891
Set list.pdf,10,OUTRA VEZ,Set list/010 - OUTRA VEZ.txt,1935
Set list.pdf,11,CURVAS DE SANTOS,Set list/011 - CURVAS DE SANTOS.txt,2190
Set list.pdf,12,EU TE AMO EU TE AMO EU TE AMO,Set list/012 - EU TE AMO EU TE AMO EU TE AMO.txt,2124
Set list.pdf,13,QUANDO,Set list/013 - QUANDO.txt,1765
Set list.pdf,14,MAR DE ROSAS,Set list/014 - MAR DE ROSAS.txt,2324
Set list.pdf,15,DIANA,Set list/015 - DIANA.txt,1251
Set list.pdf,16,ESQUEÇA,Set list/016 - ESQUECA.txt,1055
Set list.pdf,17,QUERO QUE VÁ TUDO POR INFERNO,Set list/017 - QUERO QUE VA TUDO POR INFERNO.txt,1403
Set list.pdf,18,VEM ME AJUDAR,Set list/018 - VEM ME AJUDAR.txt,1730
Set list.pdf,19,WHISKY A GO GO,Set list/019 - WHISKY A GO GO.txt,2785
Set list.pdf,20,ALL MY LOVING,Set list/020 - ALL MY LOVING.txt,1488
Set list.pdf,21,TWIST AND SHOUT –BEATTLES,Set list/021 - TWIST AND SHOUT -BEATTLES.txt,2576
Set list.pdf,22,RADIO PIRATA,Set list/022 - RADIO PIRATA.txt,1323
Set list.pdf,23,UM CERTO ALGUÉM,Set list/023 - UM CERTO ALGUEM.txt,1695
Set list.pdf,24,ANNA JULIA,Set list/024 - ANNA JULIA.txt,1754
Set list.pdf,25,CAÇA E CAÇADOR,Set list/025 - CACA E CACADOR.txt,1956
Set list.pdf,26,FOGO E PAIXÃO,Set list/026 - FOGO E PAIXAO.txt,1989
Set list.pdf,27,TE AMO DEMAIS,Set list/027 - TE AMO DEMAIS.txt,1707
Set list.pdf,28,QUANDO UM GRANDE AMOR SE FAZ,Set list/028 - QUANDO UM GRANDE AMOR SE FAZ.txt,2982
Set list.pdf,29,BORBOLETAS,Set list/029 - BORBOLETAS.txt,2204
Set list.pdf,30,NÃO OLHE ASSIM,Set list/030 - NAO OLHE ASSIM.txt,1956
Set list.pdf,31,TALISMÃ,Set list/031 - TALISMA.txt,1065
Set list.pdf,32,TARDE DEMAIS,Set list/032 - TARDE DEMAIS.txt,2391
Set list.pdf,33,LUCIANO,Set list/033 - LUCIANO.txt,2046
Set list.pdf,34,SAUDADE,Set list/034 - SAUDADE.txt,1671
Set list.pdf,35,BRINCAR DE SER FELIZ,Set list/035 - BRINCAR DE SER FELIZ.txt,1216
Set list.pdf,36,LOCUTOR,Set list/036 - LOCUTOR.txt,2204
Set list.pdf,37,CONVITE DE CASAMENTO,Set list/037 - CONVITE DE CASAMENTO.txt,3411
Set list.pdf,38,PÁGINA DE AMIGOS,Set list/038 - PAGINA DE AMIGOS.txt,1072
Set list.pdf,39,TEMPORAL DE AMOR,Set list/039 - TEMPORAL DE AMOR.txt,2015
Set list.pdf,40,CADÊ VOCÊ,Set list/040 - CADE VOCE.txt,985
Set list.pdf,41,ATÉ MAIS VER,Set list/041 - ATE MAIS VER.txt,1071
Set list.pdf,42,CORAÇÃO,Set list/042 - CORACAO.txt,1673
Set list.pdf,43,MEU MEL,Set list/043 - MEU MEL.txt,1208
Set list.pdf,44,BRILHO DA LUA,Set list/044 - BRILHO DA LUA.txt,1080
Set list.pdf,45,ME USA,Set list/045 - ME USA.txt,878
Set list.pdf,46,NODA DE CAJU,Set list/046 - NODA DE CAJU.txt,975
Set list.pdf,47,CARTA BRANCA,Set list/047 - CARTA BRANCA.txt,1824
Set list.pdf,48,MEU VÍCIO,Set list/048 - MEU VICIO.txt,1043
Set list.pdf,49,DE JANEIRO A JANEIRO,Set list/049 - DE JANEIRO A JANEIRO.txt,2226
Set list.pdf,50,PLANETA DE CORES,Set list/050 - PLANETA DE CORES.txt,1692
Set list.pdf,51,VERDADEIRO AMOR,Set list/051 - VERDADEIRO AMOR.txt,1420
Set list.pdf,52,PERGUNTAS SEM RESPOSTAS,Set list/052 - PERGUNTAS SEM RESPOSTAS.txt,1227
Set list.pdf,53,CONFIDÊNCIAS,Set list/053 - CONFIDENCIAS.txt,861
Set list.pdf,54,NOSSA CANÇÃO,Set list/054 - NOSSA CANCAO.txt,1205
Set list.pdf,55,ONDE CANTA O SABIÁ,Set list/055 - ONDE CANTA O SABIA.txt,1713
Set list.pdf,56,VIAGEM AO PARAÍSO,Set list/056 - VIAGEM AO PARAISO.txt,872
Set list.pdf,57,CHOREI NA VAQUEJADA,Set list/057 - CHOREI NA VAQUEJADA.txt,1204
Set list.pdf,58,A DESCONHECIDA,Set list/058 - A DESCONHECIDA.txt,1955
Set list.pdf,59,SEU AMOR AINDA É TUDO,Set list/059 - SEU AMOR AINDA E TUDO.txt,2063
Set list.pdf,60,RAPOSA E AS UVAS,Set list/060 - RAPOSA E AS UVAS.txt,2692
Set list.pdf,61,TENTE OUTRA VEZ,Set list/061 - TENTE OUTRA VEZ.txt,1132
