id;instrumento;acorde;acorde_enarmonico;tonica;tonica_pt;qualidade;formula_intervalar;variacao;afinacao_grave_para_agudo;casas_grave_para_agudo;dedos_grave_para_agudo;notas_resultantes;casa_inicial;pestana;cordas_abafadas;cordas_soltas;baixo;dificuldade;observacoes;fonte
ukulele-Cmaj7-2;ukulele;Cmaj7;;C;Dó;sétima maior;1 3 5 7;2;G-C-E-A;0-0-7-7;0-0-1-1;G-C-B-E;7;"sim; dedo 1 na casa 7, cordas 3 a 4";;1,2;G;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Cmaj7-3;ukulele;Cmaj7;;C;Dó;sétima maior;1 3 5 7;3;G-C-E-A;5-7-7-7;1-2-3-4;C-G-B-E;5;não;;;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Cm7-1;ukulele;Cm7;;C;Dó;menor com sétima;1 b3 5 b7;1;G-C-E-A;0-0-6-6;0-0-1-1;G-C-A#-D#;6;"sim; dedo 1 na casa 6, cordas 3 a 4";;1,2;G;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Cm7-2;ukulele;Cm7;;C;Dó;menor com sétima;1 b3 5 b7;2;G-C-E-A;5-7-6-6;1-4-2-3;C-G-A#-D#;5;não;;;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Cm7-3;ukulele;Cm7;;C;Dó;menor com sétima;1 b3 5 b7;3;G-C-E-A;5-3-3-1;4-2-3-1;C-D#-G-A#;1;não;;;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C6-1;ukulele;C6;;C;Dó;sexta;1 3 5 6;1;G-C-E-A;0-0-0-0;0-0-0-0;G-C-E-A;0;não;;1,2,3,4;G;iniciante;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C6-2;ukulele;C6;;C;Dó;sexta;1 3 5 6;2;G-C-E-A;5-7-0-0;1-2-0-0;C-G-E-A;5;não;;3,4;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C6-3;ukulele;C6;;C;Dó;sexta;1 3 5 6;3;G-C-E-A;5-4-3-0;3-2-1-0;C-E-G-A;3;não;;4;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Cm6-1;ukulele;Cm6;;C;Dó;menor com sexta;1 b3 5 6;1;G-C-E-A;5-3-3-0;2-1-1-0;C-D#-G-A;3;"sim; dedo 1 na casa 3, cordas 2 a 3";;4;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Cm6-2;ukulele;Cm6;;C;Dó;menor com sexta;1 b3 5 6;2;G-C-E-A;5-7-5-6;1-3-1-2;C-G-A-D#;5;"sim; dedo 1 na casa 5, cordas 1 a 3";;;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Cm6-3;ukulele;Cm6;;C;Dó;menor com sexta;1 b3 5 6;3;G-C-E-A;0-0-5-6;0-0-1-2;G-C-A-D#;5;não;;1,2;G;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Cdim-1;ukulele;Cdim;;C;Dó;diminuto;1 b3 b5;1;G-C-E-A;5-6-X-6;1-2-X-3;C-F#-X-D#;5;não;3;;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Cdim-2;ukulele;Cdim;;C;Dó;diminuto;1 b3 b5;2;G-C-E-A;5-3-2-3;4-2-1-3;C-D#-F#-C;2;não;;;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Cdim-3;ukulele;Cdim;;C;Dó;diminuto;1 b3 b5;3;G-C-E-A;5-0-2-6;2-0-1-3;C-C-F#-D#;2;não;;2;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Caug-1;ukulele;Caug;;C;Dó;aumentado;1 3 #5;1;G-C-E-A;5-4-4-3;4-2-3-1;C-E-G#-C;3;não;;;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Caug-2;ukulele;Caug;;C;Dó;aumentado;1 3 #5;2;G-C-E-A;5-4-4-X;2-1-1-X;C-E-G#-X;4;"sim; dedo 1 na casa 4, cordas 2 a 3";4;;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Caug-3;ukulele;Caug;;C;Dó;aumentado;1 3 #5;3;G-C-E-A;5-0-4-7;2-0-1-3;C-C-G#-E;4;não;;2;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Csus2-1;ukulele;Csus2;;C;Dó;suspenso com segunda;1 2 5;1;G-C-E-A;5-0-3-5;2-0-1-3;C-C-G-D;3;não;;2;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Csus2-2;ukulele;Csus2;;C;Dó;suspenso com segunda;1 2 5;2;G-C-E-A;X-0-10-10;X-0-1-1;X-C-D-G;10;"sim; dedo 1 na casa 10, cordas 3 a 4";1;2;C;avançado;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Csus2-3;ukulele;Csus2;;C;Dó;suspenso com segunda;1 2 5;3;G-C-E-A;X-0-3-5;X-0-1-2;X-C-G-D;3;não;1;2;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Csus4-1;ukulele;Csus4;;C;Dó;suspenso com quarta;1 4 5;1;G-C-E-A;5-5-3-3;2-3-1-1;C-F-G-C;3;"sim; dedo 1 na casa 3, cordas 3 a 4";;;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Csus4-2;ukulele;Csus4;;C;Dó;suspenso com quarta;1 4 5;2;G-C-E-A;0-0-1-X;0-0-1-X;G-C-F-X;1;não;4;1,2;G;iniciante;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Csus4-3;ukulele;Csus4;;C;Dó;suspenso com quarta;1 4 5;3;G-C-E-A;0-0-8-8;0-0-1-1;G-C-C-F;8;"sim; dedo 1 na casa 8, cordas 3 a 4";;1,2;G;avançado;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Cadd9-1;ukulele;Cadd9;;C;Dó;com nona adicionada;1 3 5 9;1;G-C-E-A;0-0-0-5;0-0-0-1;G-C-E-D;5;não;;1,2,3;G;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Cadd9-2;ukulele;Cadd9;;C;Dó;com nona adicionada;1 3 5 9;2;G-C-E-A;5-7-0-5;1-2-0-1;C-G-E-D;5;"sim; dedo 1 na casa 5, cordas 1 a 4";;3;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Cadd9-3;ukulele;Cadd9;;C;Dó;com nona adicionada;1 3 5 9;3;G-C-E-A;5-4-3-5;3-2-1-4;C-E-G-D;3;não;;;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C9-1;ukulele;C9;;C;Dó;nona dominante;1 3 5 b7 9;1;G-C-E-A;5-4-6-5;2-1-4-3;C-E-A#-D;4;não;;;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C9-2;ukulele;C9;;C;Dó;nona dominante;1 3 5 b7 9;2;G-C-E-A;5-2-0-1;3-2-0-1;C-D-E-A#;1;não;;3;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C9-3;ukulele;C9;;C;Dó;nona dominante;1 3 5 b7 9;3;G-C-E-A;3-2-0-3;2-1-0-3;A#-D-E-C;2;não;;3;A#;iniciante;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C5-1;ukulele;C5;;C;Dó;quinta (power chord);1 5;1;G-C-E-A;X-0-3-3;X-0-1-1;X-C-G-C;3;"sim; dedo 1 na casa 3, cordas 3 a 4";1;2;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C5-2;ukulele;C5;;C;Dó;quinta (power chord);1 5;2;G-C-E-A;5-0-3-3;2-0-1-1;C-C-G-C;3;"sim; dedo 1 na casa 3, cordas 3 a 4";;2;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C5-3;ukulele;C5;;C;Dó;quinta (power chord);1 5;3;G-C-E-A;0-0-3-3;0-0-1-1;G-C-G-C;3;"sim; dedo 1 na casa 3, cordas 3 a 4";;1,2;G;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C7b5-1;ukulele;C7b5;;C;Dó;sétima com quinta diminuta;1 3 b5 b7;1;G-C-E-A;5-6-6-7;1-2-3-4;C-F#-A#-E;5;não;;;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C7b5-2;ukulele;C7b5;;C;Dó;sétima com quinta diminuta;1 3 b5 b7;2;G-C-E-A;5-4-2-1;4-3-2-1;C-E-F#-A#;1;não;;;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C7b5-3;ukulele;C7b5;;C;Dó;sétima com quinta diminuta;1 3 b5 b7;3;G-C-E-A;3-4-2-3;2-4-1-3;A#-E-F#-C;2;não;;;A#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#-1;ukulele;C#;Db;C#;Dó sustenido;maior;1 3 5;1;G-C-E-A;6-5-4-4;3-2-1-1;C#-F-G#-C#;4;"sim; dedo 1 na casa 4, cordas 3 a 4";;;C#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#-2;ukulele;C#;Db;C#;Dó sustenido;maior;1 3 5;2;G-C-E-A;6-5-4-X;3-2-1-X;C#-F-G#-X;4;não;4;;C#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#-3;ukulele;C#;Db;C#;Dó sustenido;maior;1 3 5;3;G-C-E-A;6-8-9-8;1-2-4-3;C#-G#-C#-F;6;não;;;C#;avançado;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#m-1;ukulele;C#m;Dbm;C#;Dó sustenido;menor;1 b3 5;1;G-C-E-A;6-8-0-7;1-3-0-2;C#-G#-E-E;6;não;;3;C#;avançado;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#m-2;ukulele;C#m;Dbm;C#;Dó sustenido;menor;1 b3 5;2;G-C-E-A;6-4-4-4;2-1-1-1;C#-E-G#-C#;4;"sim; dedo 1 na casa 4, cordas 2 a 4";;;C#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#m-3;ukulele;C#m;Dbm;C#;Dó sustenido;menor;1 b3 5;3;G-C-E-A;6-8-0-X;1-2-0-X;C#-G#-E-X;6;não;4;3;C#;avançado;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#7-1;ukulele;C#7;Db7;C#;Dó sustenido;sétima dominante;1 3 5 b7;1;G-C-E-A;6-8-7-8;1-3-2-4;C#-G#-B-F;6;não;;;C#;avançado;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#7-2;ukulele;C#7;Db7;C#;Dó sustenido;sétima dominante;1 3 5 b7;2;G-C-E-A;1-1-1-2;1-1-1-2;G#-C#-F-B;1;"sim; dedo 1 na casa 1, cordas 1 a 3";;;G#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#7-3;ukulele;C#7;Db7;C#;Dó sustenido;sétima dominante;1 3 5 b7;3;G-C-E-A;6-5-4-2;4-3-2-1;C#-F-G#-B;2;não;;;C#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#maj7-1;ukulele;C#maj7;Dbmaj7;C#;Dó sustenido;sétima maior;1 3 5 7;1;G-C-E-A;6-8-8-8;1-2-3-4;C#-G#-C-F;6;não;;;C#;avançado;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#maj7-2;ukulele;C#maj7;Dbmaj7;C#;Dó sustenido;sétima maior;1 3 5 7;2;G-C-E-A;6-5-4-3;4-3-2-1;C#-F-G#-C;3;não;;;C#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#maj7-3;ukulele;C#maj7;Dbmaj7;C#;Dó sustenido;sétima maior;1 3 5 7;3;G-C-E-A;6-0-4-8;2-0-1-3;C#-C-G#-F;4;não;;2;C#;avançado;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#m7-1;ukulele;C#m7;Dbm7;C#;Dó sustenido;menor com sétima;1 b3 5 b7;1;G-C-E-A;6-8-7-7;1-4-2-3;C#-G#-B-E;6;não;;;C#;avançado;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#m7-2;ukulele;C#m7;Dbm7;C#;Dó sustenido;menor com sétima;1 b3 5 b7;2;G-C-E-A;1-1-0-2;1-1-0-2;G#-C#-E-B;1;"sim; dedo 1 na casa 1, cordas 1 a 2";;3;G#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#m7-3;ukulele;C#m7;Dbm7;C#;Dó sustenido;menor com sétima;1 b3 5 b7;3;G-C-E-A;6-4-4-2;4-2-3-1;C#-E-G#-B;2;não;;;C#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#6-1;ukulele;C#6;Db6;C#;Dó sustenido;sexta;1 3 5 6;1;G-C-E-A;6-8-6-8;1-2-1-3;C#-G#-A#-F;6;"sim; dedo 1 na casa 6, cordas 1 a 3";;;C#;avançado;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#6-2;ukulele;C#6;Db6;C#;Dó sustenido;sexta;1 3 5 6;2;G-C-E-A;1-1-1-1;1-1-1-1;G#-C#-F-A#;1;"sim; dedo 1 na casa 1, cordas 1 a 4";;;G#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#6-3;ukulele;C#6;Db6;C#;Dó sustenido;sexta;1 3 5 6;3;G-C-E-A;3-5-4-4;1-4-2-3;A#-F-G#-C#;3;não;;;A#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#m6-1;ukulele;C#m6;Dbm6;C#;Dó sustenido;menor com sexta;1 b3 5 6;1;G-C-E-A;1-1-0-1;1-1-0-1;G#-C#-E-A#;1;"sim; dedo 1 na casa 1, cordas 1 a 4";;3;G#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#m6-2;ukulele;C#m6;Dbm6;C#;Dó sustenido;menor com sexta;1 b3 5 6;2;G-C-E-A;6-8-6-7;1-3-1-2;C#-G#-A#-E;6;"sim; dedo 1 na casa 6, cordas 1 a 3";;;C#;avançado;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#m6-3;ukulele;C#m6;Dbm6;C#;Dó sustenido;menor com sexta;1 b3 5 6;3;G-C-E-A;3-4-4-4;1-2-3-4;A#-E-G#-C#;3;não;;;A#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#dim-1;ukulele;C#dim;Dbdim;C#;Dó sustenido;diminuto;1 b3 b5;1;G-C-E-A;6-7-0-7;1-2-0-3;C#-G-E-E;6;não;;3;C#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#dim-2;ukulele;C#dim;Dbdim;C#;Dó sustenido;diminuto;1 b3 b5;2;G-C-E-A;6-7-0-X;1-2-0-X;C#-G-E-X;6;não;4;3;C#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#dim-3;ukulele;C#dim;Dbdim;C#;Dó sustenido;diminuto;1 b3 b5;3;G-C-E-A;6-7-0-4;2-3-0-1;C#-G-E-C#;4;não;;3;C#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#aug-1;ukulele;C#aug;Dbaug;C#;Dó sustenido;aumentado;1 3 #5;1;G-C-E-A;X-1-1-0;X-1-1-0;X-C#-F-A;1;"sim; dedo 1 na casa 1, cordas 2 a 3";1;4;C#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#aug-2;ukulele;C#aug;Dbaug;C#;Dó sustenido;aumentado;1 3 #5;2;G-C-E-A;6-5-5-0;2-1-1-0;C#-F-A-A;5;"sim; dedo 1 na casa 5, cordas 2 a 3";;4;C#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#aug-3;ukulele;C#aug;Dbaug;C#;Dó sustenido;aumentado;1 3 #5;3;G-C-E-A;6-5-X-0;2-1-X-0;C#-F-X-A;5;não;3;4;C#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#sus2-1;ukulele;C#sus2;Dbsus2;C#;Dó sustenido;suspenso com segunda;1 2 5;1;G-C-E-A;6-3-4-4;4-1-2-3;C#-D#-G#-C#;3;não;;;C#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#sus2-2;ukulele;C#sus2;Dbsus2;C#;Dó sustenido;suspenso com segunda;1 2 5;2;G-C-E-A;6-3-4-6;3-1-2-4;C#-D#-G#-D#;3;não;;;C#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#sus2-3;ukulele;C#sus2;Dbsus2;C#;Dó sustenido;suspenso com segunda;1 2 5;3;G-C-E-A;6-X-4-6;2-X-1-3;C#-X-G#-D#;4;não;2;;C#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#sus4-1;ukulele;C#sus4;Dbsus4;C#;Dó sustenido;suspenso com quarta;1 4 5;1;G-C-E-A;6-6-4-4;2-3-1-1;C#-F#-G#-C#;4;"sim; dedo 1 na casa 4, cordas 3 a 4";;;C#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#sus4-2;ukulele;C#sus4;Dbsus4;C#;Dó sustenido;suspenso com quarta;1 4 5;2;G-C-E-A;6-6-4-X;2-3-1-X;C#-F#-G#-X;4;não;4;;C#;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C#sus4-3;ukulele;C#sus4;Dbsus4;C#;Dó sustenido;suspenso com quarta;1 4 5;3;G-C-E-A;6-8-9-9;1-2-3-4;C#-G#-C#-F#;6;não;;;C#;avançado;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
